scheme,price,volume,trade_date,settlement_date
LGC,3.50,5000,26/02/26,01/02/29
LGC,4.05,35000,26/02/26,01/02/28
LGC,4.00,35000,26/02/26,01/02/28
LGC,4.10,40000,26/02/26,01/02/28
LGC,4.15,60000,26/02/26,01/02/28
LGC,4.30,150000,26/02/26,01/02/27
LGC,4.35,5000,26/02/26,01/02/27
LGC,4.20,10000,26/02/26,01/02/27
LGC,4.25,40000,26/02/26,01/02/27
VEEC,83.50,30000,26/02/26,15/12/27
VEEC,83.00,17000,26/02/26,15/04/26
VEEC,82.90,55000,26/02/26,15/05/26
VEEC,83.00,10000,26/02/26,15/07/26
LGC,4.10,40000,25/02/26,01/02/28
LGC,4.15,40000,25/02/26,01/02/29
PRC,2.91,300000,25/02/26,15/06/26
ESC,22.90,20000,25/02/26,15/05/26
LGC,3.40,50000,24/02/26,01/02/30
LGC,4.30,5000,24/02/26,01/02/28
LGC,4.25,10000,24/02/26,01/02/28
LGC,4.40,10000,24/02/26,01/02/27
LGC,4.30,15000,24/02/26,01/02/27
LGC,4.60,10000,24/02/26,01/02/27
LGC,4.70,5000,24/02/26,01/02/27
LGC,4.65,10000,24/02/26,01/02/27
LGC,4.60,20000,24/02/26,01/02/27
LGC,4.50,15000,24/02/26,01/02/27
LGC,4.40,20000,24/02/26,01/02/27
STC,39.75,20000,24/02/26,15/04/26
VEEC,83.00,5000,24/02/26,15/07/26
VEEC,83.00,5000,24/02/26,15/06/26
VEEC,83.50,10000,24/02/26,15/04/26
LGC,3.60,10000,23/02/26,01/02/29
LGC,4.00,10000,23/02/26,01/02/28
LGC,4.10,15000,23/02/26,01/02/28
LGC,4.15,15000,23/02/26,01/02/28
LGC,4.25,10000,23/02/26,01/02/28
LGC,4.30,15000,23/02/26,01/02/27
LGC,4.50,20000,23/02/26,01/02/27
VEEC,83.00,5000,23/02/26,15/12/26
VEEC,83.00,10000,23/02/26,14/08/26
VEEC,83.00,10000,23/02/26,15/07/26
VEEC,84.75,5000,20/02/26,15/12/27
VEEC,84.00,5000,20/02/26,15/12/26
VEEC,83.50,5000,20/02/26,15/06/26
VEEC,83.00,5000,20/02/26,15/06/26
VEEC,83.00,5000,20/02/26,15/05/26
LGC,4.20,25000,19/02/26,01/02/28
LGC,4.50,30000,19/02/26,01/02/27
